region_type,country,percent_yoy_change,date
countries,Global,-1,2020-02-18
countries,Global,3,2020-02-19
countries,Global,-1,2020-02-20
countries,Global,-2,2020-02-21
countries,Global,1,2020-02-22
countries,Global,4,2020-02-23
countries,Global,1,2020-02-24
countries,Global,1,2020-02-25
countries,Global,-2,2020-02-26
countries,Global,-3,2020-02-27
countries,Global,-1,2020-02-28
countries,Global,1,2020-02-29
countries,Global,0,2020-03-01
countries,Global,-8,2020-03-02
countries,Global,-9,2020-03-03
countries,Global,-6,2020-03-04
countries,Global,-7,2020-03-05
countries,Global,-7,2020-03-06
countries,Global,-4,2020-03-07
countries,Global,-3,2020-03-08
countries,Global,-14,2020-03-09
countries,Global,-18,2020-03-10
countries,Global,-19,2020-03-11
countries,Global,-28,2020-03-12
countries,Global,-36,2020-03-13
countries,Global,-40,2020-03-14
countries,Global,-47,2020-03-15
countries,Global,-56,2020-03-16
countries,Global,-83,2020-03-17
countries,Global,-89,2020-03-18
countries,Global,-96,2020-03-19
countries,Global,-97,2020-03-20
countries,Global,-98,2020-03-21
countries,Global,-99,2020-03-22
countries,Global,-99,2020-03-23
countries,Global,-99,2020-03-24
countries,Global,-99,2020-03-25
countries,Global,-99,2020-03-26
countries,Global,-99,2020-03-27
countries,Global,-99,2020-03-28
countries,Global,-99,2020-03-29
countries,Global,-99,2020-03-30
countries,Global,-99,2020-03-31
countries,Global,-99,2020-04-01
countries,Global,-99,2020-04-02
countries,Global,-99,2020-04-03
countries,Global,-99,2020-04-04
countries,Global,-99,2020-04-05
countries,Global,-99,2020-04-06
countries,Global,-99,2020-04-07
countries,Global,-99,2020-04-08
countries,Global,-100,2020-04-09
countries,Global,-99,2020-04-10
countries,Global,-99,2020-04-11
countries,Global,-99,2020-04-12
countries,Global,-99,2020-04-13
countries,Global,-99,2020-04-14
countries,Global,-99,2020-04-15
countries,Global,-99,2020-04-16
countries,Global,-99,2020-04-17
countries,Global,-99,2020-04-18
countries,Global,-99,2020-04-19
countries,Global,-99,2020-04-20
countries,Global,-99,2020-04-21
countries,Global,-99,2020-04-22
countries,Global,-99,2020-04-23
countries,Global,-99,2020-04-24
countries,Global,-99,2020-04-25
countries,Global,-99,2020-04-26
countries,Global,-99,2020-04-27
countries,Global,-99,2020-04-28
countries,Global,-99,2020-04-29
countries,Global,-99,2020-04-30
countries,Global,-99,2020-05-01
countries,Global,-99,2020-05-02
countries,Global,-99,2020-05-03
countries,Global,-98,2020-05-04
countries,Global,-98,2020-05-05
countries,Global,-98,2020-05-06
countries,Global,-98,2020-05-07
countries,Global,-97,2020-05-08
countries,Global,-97,2020-05-09
countries,Global,-97,2020-05-10
countries,Global,-96,2020-05-11
countries,Global,-96,2020-05-12
countries,Global,-95,2020-05-13
countries,Global,-95,2020-05-14
countries,Global,-93,2020-05-15
countries,Global,-93,2020-05-16
countries,Global,-93,2020-05-17
countries,Global,-93,2020-05-18
countries,Global,-92,2020-05-19
countries,Global,-91,2020-05-20
countries,Global,-89,2020-05-21
countries,Global,-87,2020-05-22
countries,Global,-87,2020-05-23
countries,Global,-88,2020-05-24
countries,Global,-88,2020-05-25
countries,Global,-86,2020-05-26
countries,Global,-85,2020-05-27
countries,Global,-85,2020-05-28
countries,Global,-82,2020-05-29
countries,Global,-81,2020-05-30
countries,Global,-82,2020-05-31
countries,Global,-81,2020-06-01
countries,Global,-83,2020-06-02
countries,Global,-81,2020-06-03
countries,Global,-80,2020-06-04
countries,Global,-76,2020-06-05
countries,Global,-74,2020-06-06
countries,Global,-74,2020-06-07
countries,Global,-76,2020-06-08
countries,Global,-76,2020-06-09
countries,Global,-73,2020-06-10
countries,Global,-70,2020-06-11
countries,Global,-66,2020-06-12
countries,Global,-66,2020-06-13
countries,Global,-78,2020-06-14
countries,Global,-69,2020-06-15
countries,Global,-68,2020-06-16
countries,Global,-67,2020-06-17
countries,Global,-66,2020-06-18
countries,Global,-61,2020-06-19
countries,Global,-60,2020-06-20
countries,Global,-45,2020-06-21
countries,Global,-67,2020-06-22
countries,Global,-66,2020-06-23
countries,Global,-64,2020-06-24
countries,Global,-63,2020-06-25
countries,Global,-58,2020-06-26
countries,Global,-57,2020-06-27
countries,Global,-61,2020-06-28
countries,Global,-66,2020-06-29
countries,Global,-62,2020-06-30
countries,Global,-62,2020-07-01
countries,Global,-55,2020-07-02
countries,Global,-58,2020-07-03
countries,Global,-72,2020-07-04
countries,Global,-57,2020-07-05
countries,Global,-61,2020-07-06
countries,Global,-62,2020-07-07
countries,Global,-61,2020-07-08
countries,Global,-60,2020-07-09
countries,Global,-58,2020-07-10
countries,Global,-54,2020-07-11
countries,Global,-55,2020-07-12
countries,Global,-62,2020-07-13
countries,Global,-62,2020-07-14
countries,Australia,-3,2020-02-18
countries,Australia,-6,2020-02-19
countries,Australia,-3,2020-02-20
countries,Australia,-1,2020-02-21
countries,Australia,0,2020-02-22
countries,Australia,0,2020-02-23
countries,Australia,0,2020-02-24
countries,Australia,-2,2020-02-25
countries,Australia,-2,2020-02-26
countries,Australia,-7,2020-02-27
countries,Australia,0,2020-02-28
countries,Australia,-1,2020-02-29
countries,Australia,4,2020-03-01
countries,Australia,-12,2020-03-02
countries,Australia,-6,2020-03-03
countries,Australia,-12,2020-03-04
countries,Australia,-8,2020-03-05
countries,Australia,-6,2020-03-06
countries,Australia,-3,2020-03-07
countries,Australia,-4,2020-03-08
countries,Australia,-10,2020-03-09
countries,Australia,-4,2020-03-10
countries,Australia,-10,2020-03-11
countries,Australia,-12,2020-03-12
countries,Australia,-8,2020-03-13
countries,Australia,-11,2020-03-14
countries,Australia,-12,2020-03-15
countries,Australia,-30,2020-03-16
countries,Australia,-43,2020-03-17
countries,Australia,-50,2020-03-18
countries,Australia,-53,2020-03-19
countries,Australia,-51,2020-03-20
countries,Australia,-53,2020-03-21
countries,Australia,-65,2020-03-22
countries,Australia,-99,2020-03-23
countries,Australia,-100,2020-03-24
countries,Australia,-100,2020-03-25
countries,Australia,-100,2020-03-26
countries,Australia,-100,2020-03-27
countries,Australia,-100,2020-03-28
countries,Australia,-100,2020-03-29
countries,Australia,-100,2020-03-30
countries,Australia,-100,2020-03-31
countries,Australia,-100,2020-04-01
countries,Australia,-100,2020-04-02
countries,Australia,-100,2020-04-03
countries,Australia,-100,2020-04-04
countries,Australia,-100,2020-04-05
countries,Australia,-100,2020-04-06
countries,Australia,-100,2020-04-07
countries,Australia,-100,2020-04-08
countries,Australia,-100,2020-04-09
countries,Australia,-100,2020-04-10
countries,Australia,-100,2020-04-11
countries,Australia,-100,2020-04-12
countries,Australia,-100,2020-04-13
countries,Australia,-100,2020-04-14
countries,Australia,-100,2020-04-15
countries,Australia,-100,2020-04-16
countries,Australia,-100,2020-04-17
countries,Australia,-100,2020-04-18
countries,Australia,-100,2020-04-19
countries,Australia,-100,2020-04-20
countries,Australia,-100,2020-04-21
countries,Australia,-100,2020-04-22
countries,Australia,-100,2020-04-23
countries,Australia,-100,2020-04-24
countries,Australia,-100,2020-04-25
countries,Australia,-100,2020-04-26
countries,Australia,-100,2020-04-27
countries,Australia,-100,2020-04-28
countries,Australia,-100,2020-04-29
countries,Australia,-100,2020-04-30
countries,Australia,-100,2020-05-01
countries,Australia,-100,2020-05-02
countries,Australia,-100,2020-05-03
countries,Australia,-100,2020-05-04
countries,Australia,-100,2020-05-05
countries,Australia,-100,2020-05-06
countries,Australia,-100,2020-05-07
countries,Australia,-100,2020-05-08
countries,Australia,-100,2020-05-09
countries,Australia,-100,2020-05-10
countries,Australia,-98,2020-05-11
countries,Australia,-99,2020-05-12
countries,Australia,-98,2020-05-13
countries,Australia,-99,2020-05-14
countries,Australia,-97,2020-05-15
countries,Australia,-94,2020-05-16
countries,Australia,-94,2020-05-17
countries,Australia,-92,2020-05-18
countries,Australia,-92,2020-05-19
countries,Australia,-92,2020-05-20
countries,Australia,-91,2020-05-21
countries,Australia,-90,2020-05-22
countries,Australia,-91,2020-05-23
countries,Australia,-90,2020-05-24
countries,Australia,-96,2020-05-25
countries,Australia,-87,2020-05-26
countries,Australia,-76,2020-05-27
countries,Australia,-84,2020-05-28
countries,Australia,-88,2020-05-29
countries,Australia,-88,2020-05-30
countries,Australia,-86,2020-05-31
countries,Australia,-45,2020-06-01
countries,Australia,-46,2020-06-02
countries,Australia,-39,2020-06-03
countries,Australia,-37,2020-06-04
countries,Australia,-33,2020-06-05
countries,Australia,-36,2020-06-06
countries,Australia,-39,2020-06-07
countries,Australia,-40,2020-06-08
countries,Australia,-34,2020-06-09
countries,Australia,-30,2020-06-10
countries,Australia,-19,2020-06-11
countries,Australia,-17,2020-06-12
countries,Australia,-20,2020-06-13
countries,Australia,-16,2020-06-14
countries,Australia,-24,2020-06-15
countries,Australia,-16,2020-06-16
countries,Australia,-15,2020-06-17
countries,Australia,-9,2020-06-18
countries,Australia,-5,2020-06-19
countries,Australia,-7,2020-06-20
countries,Australia,-2,2020-06-21
countries,Australia,-16,2020-06-22
countries,Australia,-17,2020-06-23
countries,Australia,-6,2020-06-24
countries,Australia,0,2020-06-25
countries,Australia,44,2020-06-26
countries,Australia,3,2020-06-27
countries,Australia,-1,2020-06-28
countries,Australia,-10,2020-06-29
countries,Australia,-75,2020-06-30
countries,Australia,6,2020-07-01
countries,Australia,-71,2020-07-02
countries,Australia,-69,2020-07-03
countries,Australia,-77,2020-07-04
countries,Australia,-22,2020-07-05
countries,Australia,-28,2020-07-06
countries,Australia,58,2020-07-07
countries,Australia,19,2020-07-08
countries,Australia,-19,2020-07-09
countries,Australia,-12,2020-07-10
countries,Australia,-12,2020-07-11
countries,Australia,-10,2020-07-12
countries,Australia,-25,2020-07-13
countries,Australia,-28,2020-07-14
countries,Canada,-5,2020-02-18
countries,Canada,0,2020-02-19
countries,Canada,-3,2020-02-20
countries,Canada,-2,2020-02-21
countries,Canada,-1,2020-02-22
countries,Canada,8,2020-02-23
countries,Canada,-2,2020-02-24
countries,Canada,-3,2020-02-25
countries,Canada,1,2020-02-26
countries,Canada,-12,2020-02-27
countries,Canada,-8,2020-02-28
countries,Canada,-4,2020-02-29
countries,Canada,-7,2020-03-01
countries,Canada,-12,2020-03-02
countries,Canada,-7,2020-03-03
countries,Canada,-2,2020-03-04
countries,Canada,-4,2020-03-05
countries,Canada,-8,2020-03-06
countries,Canada,-9,2020-03-07
countries,Canada,-1,2020-03-08
countries,Canada,-13,2020-03-09
countries,Canada,-18,2020-03-10
countries,Canada,-19,2020-03-11
countries,Canada,-28,2020-03-12
countries,Canada,-40,2020-03-13
countries,Canada,-41,2020-03-14
countries,Canada,-47,2020-03-15
countries,Canada,-60,2020-03-16
countries,Canada,-94,2020-03-17
countries,Canada,-97,2020-03-18
countries,Canada,-99,2020-03-19
countries,Canada,-99,2020-03-20
countries,Canada,-99,2020-03-21
countries,Canada,-99,2020-03-22
countries,Canada,-99,2020-03-23
countries,Canada,-99,2020-03-24
countries,Canada,-99,2020-03-25
countries,Canada,-99,2020-03-26
countries,Canada,-99,2020-03-27
countries,Canada,-100,2020-03-28
countries,Canada,-100,2020-03-29
countries,Canada,-100,2020-03-30
countries,Canada,-100,2020-03-31
countries,Canada,-100,2020-04-01
countries,Canada,-100,2020-04-02
countries,Canada,-100,2020-04-03
countries,Canada,-100,2020-04-04
countries,Canada,-100,2020-04-05
countries,Canada,-100,2020-04-06
countries,Canada,-100,2020-04-07
countries,Canada,-100,2020-04-08
countries,Canada,-100,2020-04-09
countries,Canada,-100,2020-04-10
countries,Canada,-100,2020-04-11
countries,Canada,-100,2020-04-12
countries,Canada,-100,2020-04-13
countries,Canada,-100,2020-04-14
countries,Canada,-100,2020-04-15
countries,Canada,-100,2020-04-16
countries,Canada,-99,2020-04-17
countries,Canada,-99,2020-04-18
countries,Canada,-100,2020-04-19
countries,Canada,-100,2020-04-20
countries,Canada,-100,2020-04-21
countries,Canada,-100,2020-04-22
countries,Canada,-100,2020-04-23
countries,Canada,-99,2020-04-24
countries,Canada,-99,2020-04-25
countries,Canada,-100,2020-04-26
countries,Canada,-100,2020-04-27
countries,Canada,-100,2020-04-28
countries,Canada,-100,2020-04-29
countries,Canada,-100,2020-04-30
countries,Canada,-99,2020-05-01
countries,Canada,-100,2020-05-02
countries,Canada,-100,2020-05-03
countries,Canada,-100,2020-05-04
countries,Canada,-100,2020-05-05
countries,Canada,-100,2020-05-06
countries,Canada,-100,2020-05-07
countries,Canada,-100,2020-05-08
countries,Canada,-99,2020-05-09
countries,Canada,-100,2020-05-10
countries,Canada,-99,2020-05-11
countries,Canada,-99,2020-05-12
countries,Canada,-99,2020-05-13
countries,Canada,-99,2020-05-14
countries,Canada,-98,2020-05-15
countries,Canada,-98,2020-05-16
countries,Canada,-98,2020-05-17
countries,Canada,-98,2020-05-18
countries,Canada,-94,2020-05-19
countries,Canada,-94,2020-05-20
countries,Canada,-94,2020-05-21
countries,Canada,-94,2020-05-22
countries,Canada,-93,2020-05-23
countries,Canada,-92,2020-05-24
countries,Canada,-98,2020-05-25
countries,Canada,-88,2020-05-26
countries,Canada,-87,2020-05-27
countries,Canada,-89,2020-05-28
countries,Canada,-88,2020-05-29
countries,Canada,-89,2020-05-30
countries,Canada,-88,2020-05-31
countries,Canada,-83,2020-06-01
countries,Canada,-85,2020-06-02
countries,Canada,-84,2020-06-03
countries,Canada,-84,2020-06-04
countries,Canada,-83,2020-06-05
countries,Canada,-82,2020-06-06
countries,Canada,-81,2020-06-07
countries,Canada,-83,2020-06-08
countries,Canada,-82,2020-06-09
countries,Canada,-80,2020-06-10
countries,Canada,-80,2020-06-11
countries,Canada,-77,2020-06-12
countries,Canada,-77,2020-06-13
countries,Canada,-84,2020-06-14
countries,Canada,-79,2020-06-15
countries,Canada,-75,2020-06-16
countries,Canada,-74,2020-06-17
countries,Canada,-73,2020-06-18
countries,Canada,-69,2020-06-19
countries,Canada,-68,2020-06-20
countries,Canada,-55,2020-06-21
countries,Canada,-66,2020-06-22
countries,Canada,-70,2020-06-23
countries,Canada,-68,2020-06-24
countries,Canada,-65,2020-06-25
countries,Canada,-57,2020-06-26
countries,Canada,-57,2020-06-27
countries,Canada,-62,2020-06-28
countries,Canada,-68,2020-06-29
countries,Canada,-43,2020-06-30
countries,Canada,-43,2020-07-01
countries,Canada,-63,2020-07-02
countries,Canada,-57,2020-07-03
countries,Canada,-87,2020-07-04
countries,Canada,-53,2020-07-05
countries,Canada,-58,2020-07-06
countries,Canada,-59,2020-07-07
countries,Canada,-57,2020-07-08
countries,Canada,-56,2020-07-09
countries,Canada,-53,2020-07-10
countries,Canada,-56,2020-07-11
countries,Canada,-50,2020-07-12
countries,Canada,-54,2020-07-13
countries,Canada,-52,2020-07-14
countries,Germany,11,2020-02-18
countries,Germany,4,2020-02-19
countries,Germany,3,2020-02-20
countries,Germany,5,2020-02-21
countries,Germany,1,2020-02-22
countries,Germany,2,2020-02-23
countries,Germany,11,2020-02-24
countries,Germany,4,2020-02-25
countries,Germany,5,2020-02-26
countries,Germany,5,2020-02-27
countries,Germany,11,2020-02-28
countries,Germany,7,2020-02-29
countries,Germany,9,2020-03-01
countries,Germany,-8,2020-03-02
countries,Germany,0,2020-03-03
countries,Germany,-4,2020-03-04
countries,Germany,-6,2020-03-05
countries,Germany,-7,2020-03-06
countries,Germany,4,2020-03-07
countries,Germany,11,2020-03-08
countries,Germany,-10,2020-03-09
countries,Germany,-16,2020-03-10
countries,Germany,-11,2020-03-11
countries,Germany,-17,2020-03-12
countries,Germany,-28,2020-03-13
countries,Germany,-38,2020-03-14
countries,Germany,-46,2020-03-15
countries,Germany,-63,2020-03-16
countries,Germany,-90,2020-03-17
countries,Germany,-95,2020-03-18
countries,Germany,-98,2020-03-19
countries,Germany,-98,2020-03-20
countries,Germany,-99,2020-03-21
countries,Germany,-99,2020-03-22
countries,Germany,-100,2020-03-23
countries,Germany,-100,2020-03-24
countries,Germany,-100,2020-03-25
countries,Germany,-100,2020-03-26
countries,Germany,-100,2020-03-27
countries,Germany,-100,2020-03-28
countries,Germany,-100,2020-03-29
countries,Germany,-100,2020-03-30
countries,Germany,-100,2020-03-31
countries,Germany,-100,2020-04-01
countries,Germany,-100,2020-04-02
countries,Germany,-100,2020-04-03
countries,Germany,-100,2020-04-04
countries,Germany,-100,2020-04-05
countries,Germany,-100,2020-04-06
countries,Germany,-100,2020-04-07
countries,Germany,-100,2020-04-08
countries,Germany,-100,2020-04-09
countries,Germany,-99,2020-04-10
countries,Germany,-100,2020-04-11
countries,Germany,-100,2020-04-12
countries,Germany,-100,2020-04-13
countries,Germany,-99,2020-04-14
countries,Germany,-100,2020-04-15
countries,Germany,-100,2020-04-16
countries,Germany,-100,2020-04-17
countries,Germany,-100,2020-04-18
countries,Germany,-100,2020-04-19
countries,Germany,-100,2020-04-20
countries,Germany,-100,2020-04-21
countries,Germany,-100,2020-04-22
countries,Germany,-100,2020-04-23
countries,Germany,-100,2020-04-24
countries,Germany,-100,2020-04-25
countries,Germany,-100,2020-04-26
countries,Germany,-100,2020-04-27
countries,Germany,-100,2020-04-28
countries,Germany,-100,2020-04-29
countries,Germany,-99,2020-04-30
countries,Germany,-100,2020-05-01
countries,Germany,-99,2020-05-02
countries,Germany,-100,2020-05-03
countries,Germany,-100,2020-05-04
countries,Germany,-100,2020-05-05
countries,Germany,-100,2020-05-06
countries,Germany,-100,2020-05-07
countries,Germany,-100,2020-05-08
countries,Germany,-99,2020-05-09
countries,Germany,-99,2020-05-10
countries,Germany,-94,2020-05-11
countries,Germany,-95,2020-05-12
countries,Germany,-91,2020-05-13
countries,Germany,-91,2020-05-14
countries,Germany,-79,2020-05-15
countries,Germany,-79,2020-05-16
countries,Germany,-73,2020-05-17
countries,Germany,-62,2020-05-18
countries,Germany,-65,2020-05-19
countries,Germany,-55,2020-05-20
countries,Germany,-24,2020-05-21
countries,Germany,-50,2020-05-22
countries,Germany,-60,2020-05-23
countries,Germany,-54,2020-05-24
countries,Germany,-56,2020-05-25
countries,Germany,-59,2020-05-26
countries,Germany,-54,2020-05-27
countries,Germany,-67,2020-05-28
countries,Germany,-43,2020-05-29
countries,Germany,-32,2020-05-30
countries,Germany,0,2020-05-31
countries,Germany,32,2020-06-01
countries,Germany,-39,2020-06-02
countries,Germany,-31,2020-06-03
countries,Germany,-42,2020-06-04
countries,Germany,-23,2020-06-05
countries,Germany,-22,2020-06-06
countries,Germany,-41,2020-06-07
countries,Germany,-54,2020-06-08
countries,Germany,-13,2020-06-09
countries,Germany,-9,2020-06-10
countries,Germany,7,2020-06-11
countries,Germany,3,2020-06-12
countries,Germany,-14,2020-06-13
countries,Germany,-21,2020-06-14
countries,Germany,-27,2020-06-15
countries,Germany,-24,2020-06-16
countries,Germany,-23,2020-06-17
countries,Germany,-30,2020-06-18
countries,Germany,-6,2020-06-19
countries,Germany,-4,2020-06-20
countries,Germany,7,2020-06-21
countries,Germany,-13,2020-06-22
countries,Germany,-8,2020-06-23
countries,Germany,-1,2020-06-24
countries,Germany,-7,2020-06-25
countries,Germany,-1,2020-06-26
countries,Germany,0,2020-06-27
countries,Germany,14,2020-06-28
countries,Germany,-16,2020-06-29
countries,Germany,-10,2020-06-30
countries,Germany,-5,2020-07-01
countries,Germany,-7,2020-07-02
countries,Germany,0,2020-07-03
countries,Germany,3,2020-07-04
countries,Germany,0,2020-07-05
countries,Germany,-15,2020-07-06
countries,Germany,-6,2020-07-07
countries,Germany,-1,2020-07-08
countries,Germany,-3,2020-07-09
countries,Germany,-1,2020-07-10
countries,Germany,1,2020-07-11
countries,Germany,0,2020-07-12
countries,Germany,-3,2020-07-13
countries,Germany,2,2020-07-14
countries,Ireland,2,2020-02-18
countries,Ireland,0,2020-02-19
countries,Ireland,4,2020-02-20
countries,Ireland,1,2020-02-21
countries,Ireland,-3,2020-02-22
countries,Ireland,4,2020-02-23
countries,Ireland,-9,2020-02-24
countries,Ireland,-8,2020-02-25
countries,Ireland,-10,2020-02-26
countries,Ireland,-2,2020-02-27
countries,Ireland,-10,2020-02-28
countries,Ireland,-13,2020-02-29
countries,Ireland,10,2020-03-01
countries,Ireland,-6,2020-03-02
countries,Ireland,-7,2020-03-03
countries,Ireland,-1,2020-03-04
countries,Ireland,-15,2020-03-05
countries,Ireland,-13,2020-03-06
countries,Ireland,-5,2020-03-07
countries,Ireland,4,2020-03-08
countries,Ireland,-10,2020-03-09
countries,Ireland,-28,2020-03-10
countries,Ireland,-27,2020-03-11
countries,Ireland,-46,2020-03-12
countries,Ireland,-51,2020-03-13
countries,Ireland,-52,2020-03-14
countries,Ireland,-75,2020-03-15
